Год_выпуска,Жанр,Название,Режиссёр,Страна
"2014, и, 5 декабря, 2014",драматический фильм,Инородное тело (фильм),"Кшиштоф Занусси, [1]",
1991,фильм ужасов,Инопланетянин в чужом теле,Джон Макноутон,США
2005,"Боевик, ,, научная фантастика",Инопланетный апокалипсис,Джош Бекер,США
1989,научная фантастика,Инопланетное семя,Боб Джеймс,США
"11 марта 2011, [1]","боевик, фантастика",Инопланетное вторжение: Битва за Лос-Анджелес,Джонатан Либесман,США
1987,"комедия, фильм ужасов, фантастика",Инопланетное рагу,Питер Джексон,Новая Зеландия
1999,"фантастика, приключенческий фильм",Инопланетная угроза,Марк Хэйбер,США
1965,"драма, военный",Иной фронт,Хуго Херман,ГДР
1982,"научная фантастика, драма, приключения, семейный фильм",Инопланетянин (фильм),Стивен Спилберг,США
2018,драма,Иногда. Всегда. Никогда,"Карл Хантер, [d]",Великобритания
1996,фильм ужасов,Иногда они возвращаются… снова,Адам Гроссман,США
1998,фильм ужасов,Иногда они возвращаются 3,Дэниэл Зэлик Берк,США
"2009, [1]","фильм-ограбление, боевик, [2], [3], […], криминальный триллер, [d], драматический фильм","Инкассатор (фильм, 2009)","Нимрод Антал, [3]",США
